Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Weight(kg)
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456 ",406,200,6.0,"170,000 ",Petrol,5,500,2000
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798 ",134,180,10.0,"24,000 ",Hybrid,5,300,1550
TOYOTA,BZ3,ELECTRIC MOTOR,65 KWH,241,160,7.5,"35,000 ",Electric,5,340,1300
TOYOTA,GR YARIS,"1.6L,3,1","618 """,268,230,5.5,"45,000 ",Petrol,4,390,950
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 ",253,180,9.3,"50,000 ",Petrol/Hybrid,7,420,2050
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6 KWH,225,185,7.4,"41,000 ",Electric,5,350,1650
HYUNDAI,Santa Cruz,4,"2,500 ",281,215,6.5,"40,799 ",Petrol,5,400,1450
HYUNDAI,Kona,1.6L PETROL,"1,591 ",147,185,10. 5,"20,500 ",Petrol/EV,5,400,1650
HYUNDAI,Elantra,4,"2,000 ",147,210,8.3,"19,950 ",Petrol/Hybrid,5,250,1550
Nissan,Urvan,2.5L Turbo Diese,,2488,140,14.0,"28,000 ",Diesel,15,356,3200
HYUNDAI,IONIQ 6,Electric Motor,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320,185,5.2,"41,450 ",Electric,5,350,1300
HYUNDAI,Tucson,4,"2,500 ",187,180,6.1,"30,500 ",Petrol/Hybrid,5,400,2000
HYUNDAI,Palisade,3.8L V6,"3,800 ",291,240,6.3,"52,000 ",Petrol,7,355,2150
HYUNDAI,Sonata,4,"2,500 ",191,240,8,"25,000 ",Petrol/Hybrid,5,250,1650
HYUNDAI,Aent,4,"1,600 ",120,180,9.8,"15,000 ",Petrol,5,151,1350
HYUNDAI,Venue,4,"1,600 ",121,180,9.5,"18,000 ",Petrol,5,240,1700
HYUNDAI,KONA Electric,Electric Motor,39.2 kwh,200,200,6.1,"40,000 ",Electric,5,395,1650
HYUNDAI,Veloster,4,"2,000 ",275,220,6,"25,000 ",Petrol,4,264,1250
HYUNDAI,NEXO,Electric Motor,1.56 kwh,161,180,7.8,"38,000 ",Hydrogen,5,400,1000
HYUNDAI,Ioniq,4,"1,600 ",139,160,8.5,"18,000 ",Hybrid/Electric,5,295,1650
HYUNDAI,Genesis,3.8L V6,"3,800 ",291,240,6.3,"52,000 ",Petrol,5,400,1650
HYUNDAI,Azera,3.3L V6,"3,300 ",278,240,6.5,"55,000 ",Petrol,5,250,1650
HYUNDAI,Equus,3.3L V6,"3,300 ",278,240,6.5,"55,000 ",Petrol,5,400,1650
HYUNDAI,Tiburon,4,"2,000 ",160,200,8.2,"19,000 ",Petrol,4,320,1300
HYUNDAI,Elantra GT,cylinder,"2,000 ",160,200,8.3,"22,000 ",Petrol,5,320,1350
Volkswagen,Golf,1.5L Turbo I4 / Electric,58kWh,320,210,8.5,"23,000 ",Petrol,5,250,1050
Volkswagen,Passat,2.0L Turbo I4,1984,280,210,7.8,"25,000 ",Petrol,5,250,1300
Volkswagen,Tiguan,2.0L Turbo I4,1984,230,209,8.5,"28,505 ","Petrol,Hybrid",7,300,2050
Volkswagen,Jetta,1.5L Turbo I4,1498,228,210,7.7,"21,995 ",Petrol,5,250,1100
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,999  / 1598,200,190,9.5,"18,000 ",Petrol,5,175,1050
Volkswagen,Arteon,2.0L Turbo I4,1984,280,250,5.6,"46,000 ",Petrol,5,350,1300
Volkswagen,ID.4,Electric,77 kWh,302,160,7.8,"39,735 ",Electric,5,310,1300
Volkswagen,Up!,Electric,32.3 kWh,82,160,13.0,"15,000 ",Petrol,4,95,1000
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,2967  / 3956,500,235,5.9,"55,000 ","Petrol,Diesel",5,600,1950
Volkswagen,Sciroo,2.0L Turbo I4,1984,280,233,6.0,"35,000 ",Petrol,4,350,1250
Volkswagen,Beetle,2.0L Turbo I4,1984,210,205,7.0,"20,000 ",Petrol,4,240,1250
Volkswagen,Amarok,3.0L V6 Turbo Diesel,2967,258,180,7.9,"40,000 ",Diesel,5,550,1600
Volkswagen,Roc,2.0L Turbo I4,1984,300,205,7.2,"30,000 ",Petrol,5,320,1300
Volkswagen,Sharan,2.0L Turbo I4,1984,220,200,9.3,"33,000 ","Petrol,Diesel",7,280,1550
Volkswagen,Caddy,1.5L Turbo I4,1498,150,185,10.5,"28,000 ","Petrol,Diesel",7,250,1350
Nissan,NV1500,4.0L V6,3954,261,160,9.5,"33,000 ",Petrol,12,385,1850
Volkswagen,Taigo,1.5L Turbo I4,1498,150,183,10.0,"24,000 ",Petrol,5,200,1150
Volkswagen,California,2.0L Turbo I4,1984,204,180,13.0,"70,000 ",Diesel,7,340,1550
Volkswagen,ID.3,Electric,77kWh,204,160,7.3,"35,000 ",Electric,5,310,1300
Volkswagen,ID. Buzz,Electric,77 kWh,204,145,10.2,"59,995 ",Electric,7,310,1500
Volkswagen,Golf GTI,2.0L Turbo I4,1984,245,250,5.9,"31,965 ",Petrol,5,350,1300
Volkswagen,Golf R,2.0L Turbo I4,1984,315,250,4.6,"44,640 ",Petrol,5,420,1300
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,1968,240,220,7.8,"36,000 ",Diesel,5,400,1350
Volkswagen,Polo GTI,2.0L Turbo I4,1984,204,238,6.7,"28,000 ",Petrol,5,320,1300
Volkswagen,Up! GTI,1.0L Turbo I3,999,115,196,8.8,"20,000 ",Petrol,4,200,1000
Volkswagen,Cross,1.0L Turbo I3 / 1.5L Turbo I4,999  / 1498,150,200,10.2,"25,000 ",Petrol,5,250,1050
Volkswagen,ID.5,Electric,77 kWh,299,180,8.4,"45,000 ",Electric,5,310,1350
Volkswagen,ID. Buzz Cargo,Electric,77 kWh,204,145,10.2,"55,000 ",Electric,3,310,1300
Volkswagen,Touareg R,inHybridV6,2995,462,250,5.1,"70,000 ",Hybrid,5,700,2100
Volkswagen,Multivan,inHybrid/DieselI4,1395  / 1968,218,190,9.4,"50,000 ","Petrol,Hybrid",7,350,1500
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199,95,190,10.5,"22,000 ",Diesel,5,250,1050
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498,150,210,8.9,"30,000 ",Petrol,5,250,1500
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968,200,210,7.1,"35,000 ",Petrol,5,350,1300
Volkswagen,Sciroo R,2.0L Turbo I4,1984,280,250,5.5,"40,000 ",Petrol,4,350,1250
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984,230,215,7.6,"35,000 ",Petrol,7,320,1800
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984,320,250,5.6,"48,000 ",Petrol,5,350,1300
Volkswagen,ID.4 GTX,Electric AWD,77 kWh,299,180,6.2,"50,000 ",Electric,5,460,1300
Volkswagen,ID.3 Pro,Electric,58 kWh,204,160,7.3,"35,000 ",Electric,5,310,1300
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1498  / 1968,150,220,7.5,"32,000 ",Petrol,5,320,1100
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968,177,160,13.0,"40,000 ",Diesel,3,410,1350
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1390  / 1199,75,170,14.3,"15,000 ",Petrol,4,120,1100
Volkswagen,Corrado,2.9L VR6,2861,190,235,6.4,"25,000 ",Petrol,4,245,1500
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,2967  / 5998,450,250,6.1,"85,000 ",Petrol,5,560,1550
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197  / 1984,210,217,8.4,"30,000 ",Petrol,4,200,920
Volkswagen,Santana,1.5L I4 Gas,1498,110,190,12.9,"15,000 ",Petrol,5,145,1150
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1390  / 1598,105,170,10.8,"14,000 ",Petrol,5,132,1150
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192,60,138,23.0,"25,000 ",Petrol,2,106,950
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1198  / 1390,75,148,17.5,"12,000 ",Petrol,5,93,1050
Volkswagen,Vento,1.6L I4 Gas / Diesel,1598,110,186,11.7,"18,000 ",Petrol,5,153,1350
Volkswagen,Golf Electric,Electric,35.8 kWh,136,140,10.4,"33,000 ",Electric,5,290,1350
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1598  / 1896,150,200,9.4,"20,000 ",Petrol,5,220,1350
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,1984  / 3597,276,190,8.6,"32,000 ",Petrol,7,350,2000
Volkswagen,Taos,1.5L I4 Turbo,1498,158,193,8.4,"24,000 ",Petrol,5,250,1150
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,999,115,160,12.4,"18,000 ",Petrol,4,95,920
Volkswagen,RocCabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,999  / 1498,150,205,9.6,"35,000 ",Petrol,4,250,920
Volkswagen,Passat CC,2.0L I4 Turbo,1984,280,240,7.3,"40,000 ",Petrol,5,280,1300
Volkswagen,Transporter,2.0L I4 Turbo Diesel,1968,204,180,12.2,"35,000 ",Diesel,9,340,1900
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967,258,191,7.9,"45,000 ",Diesel,5,580,1600
Volkswagen,ID.2,Electric,~50 kWh (Estimate),~170,160,8.0,"25,000 ",Electric,5,220,1050
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1390  / 1598,105,190,9.9,"20,000 ",Diesel,5,250,1200
Volkswagen,Golf GTE,inHybrid(1.4LI4Turbo),1395  + Electric Motor,204,222,7.6,"40,000 ",Hybrid,5,350,1300
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956,421,250,4.9,"70,000 ",Petrol,5,770,2000
Volkswagen,Beetle Dune,1.4L I4 Turbo,1395,150,200,7.5,"30,000 ",Petrol,4,250,1050
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1498  / 1968,280,210,8.7,"28,000 ",Petrol,5,250,1150
Volkswagen,ID.4 Pro S,Electric,77 kWh,201,180,7.8,"45,000 ",Electric,5,310,1300
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197  / 1984,210,217,8.4,"30,000 ",Petrol,4,200,920
Volkswagen,Golf Country,1.8L I4 Gas,1781,98,165,12.0,"25,000 ",Petrol,5,170,1350
Volkswagen,Jetta GLI,2.0L I4 Turbo,1984,228,250,6.5,"31,000 ",Petrol,5,350,1300
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984,320,250,5.6,"50,000 ",Petrol,5,420,1300
Volkswagen,CrossR,1.0L I3 Turbo / 1.5L I4 Turbo,999  / 1498,150,200,8.5,"27,000 ",Petrol,5,250,1050
Volkswagen,Golf R32,3.2L VR6,3189,240,250,6.2,"40,000 ",Petrol,5,320,1650
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1598  / 1984,240,220,8.5,"26,000 ",Petrol,5,280,1350
Volkswagen,Sciroo 16V,1.8L I4 Gas,1781,137,220,7.1,"35,000 ",Petrol,4,230,1250
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199,95,190,10.5,"20,000 ",Diesel,5,210,1050
Volkswagen,Golf Variant GTD,2.0L Diesel I4,1968,184,230,7.5,"38,000 ",Diesel,5,380,1350
Volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598,272,200,4.1,"45,000 ",Petrol,5,400,1300
Volkswagen,ID. Buzz Pro,Electric,77 kWh,204,145,10.2,"60,000 ",Electric,7,310,1500
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395,170,210,8.6,"28,000 ",Hybrid,5,250,1350
Volkswagen,Golf Variant Alltrack,2.0L Diesel I4,1968,200,220,7.8,"35,000 ",Petrol,5,320,1300
Volkswagen,Volkswagen XL1,inHybrid(0.8LI2Diesel),800  + Electric Motor,68,160,11.9,"150,000 ",Hybrid,2,140,1050
Volkswagen,Golf TDI,2.0L Diesel I4,1968,184,220,8.0,"28,000 ",Diesel,5,350,1350
Volkswagen,Passat Variant,1.5L I4 Turbo / 2.0L Diesel,1498  / 1968,240,220,8.5,"30,000 ",Petrol,5,280,1150
Volkswagen,Polo GTI Clubsport,2.0L I4 Turbo,1984,300,240,6.7,"30,000 ",Petrol,5,320,1650
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395,170,210,8.6,"28,000 ",Hybrid,5,250,1350
Volkswagen,ID.3 GTX,Electric,77 kWh,299,180,6.2,"45,000 ",Electric,5,310,1300
Volkswagen,Line,2.0L I4 Turbo,1984,280,250,5.6,"50,000 ",Petrol,5,420,1300
Volkswagen,Golf TGI,1.5L I4 CNG,1498,130,220,8.8,"30,000 ",Petrol,5,200,1150
Volkswagen,Sciroo GTS,2.0L I4 Turbo,1984,220,246,6.5,"35,000 ",Petrol,4,350,1250
Volkswagen,Caddy Maxi,2.0L Diesel I4,1968,150,180,12.0,"25,000 ",Diesel,7,250,1550
Volkswagen,Volkswagen Lupo 3L,1.2L Diesel I3,1199,61,165,14.5,"20,000 ",Diesel,4,140,1050
Volkswagen,Polo Beats,1.0L I3 Turbo,999,95,187,9.5,"22,000 ",Petrol,5,175,1050
Volkswagen,Passat Hybrid,1.4L I4 Turbo + Electric Motor,1395,215,210,7.4,"32,000 ",Hybrid,5,330,1300
Volkswagen,Golf TCR,2.0L I4 Turbo,1984,290,250,5.6,"40,000 ",Petrol,5,370,1300
Volkswagen,Line,2.0L I4 Turbo,1984,230,250,4.9,"45,000 ",Petrol,5,420,1300
Volkswagen,Sharan Business,2.0L Diesel I4,1968,184,200,8.3,"35,000 ",Diesel,7,350,1550
Volkswagen,ID. Buzz Cargo Pro,Electric,77 kWh,204,145,10.2,"55,000 ",Electric,2,310,1250
Volkswagen,Arteon 280 TSI,2.0L I4 Turbo,1984,280,250,5.6,"50,000 ",Petrol,5,350,1300
Volkswagen,Jetta GLI 35th,2.0L I4 Turbo,1984,228,250,6.5,"31,000 ",Petrol,5,350,1300
Volkswagen,Beetle Final Edition,2.0L I4 Turbo,1984,174,205,7.0,"25,000 ",Petrol,4,250,1250
Volkswagen,Golf Variant TDI,2.0L Diesel I4,1968,184,220,7.8,"30,000 ",Diesel,5,350,1350
Volkswagen,Golf 4MOTION,2.0L Diesel I4,1968,184,250,4.9,"40,000 ",Petrol,5,400,1300
Volkswagen,Jetta SportWagen,1.4L I4 Turbo / 2.0L Diesel I4,1395  / 1968,150,200,8.5,"27,000 ",Petrol,5,250,1500
Volkswagen,Polo GTI Plus,2.0L I4 Turbo,1984,207,237,6.7,"30,000 ",Petrol,5,320,1300
Volkswagen,Touareg V6,3.0L V6 Turbo Diesel / Gasoline,2967,340,235,7.5,"60,000 ",Petrol,5,450,1900
Volkswagen,Tiguan eHybrid,1.4L I4 Turbo + Electric Motor,1395  + Battery,245,200,7.5,"42,000 ",Hybrid,5,400,1650
Volkswagen,up!,Electric,32.3 kWh,83,130,11.9,"23,000 ",Electric,4,210,1050
Volkswagen,Amarok V8,4.0L V8 Turbo Diesel,3996,340,210,7.4,"70,000 ",Diesel,5,580,1700
Volkswagen,Golf R Cabriolet,2.0L I4 Turbo,1984,265,250,5.9,"45,000 ",Petrol,4,380,1170
Volkswagen,Passat Alltrack TDI,2.0L Diesel I4,1968,190,220,8.0,"40,000 ",Diesel,5,400,1350
Volkswagen,ID. Buzz Cargo EV,Electric,77 kWh,204,145,10.2,"55,000 ",Electric,2,310,1250
Nissan,Versa,4,1598,122 HP,180,10.4,"16,700 ",Petrol,5,154,1350
Nissan,Micra,3,999,100 HP,175,10.8,"15,500 ",Petrol,5,160,1050
Nissan,Patrol Platinum,5.6L V8,5552,400 HP,210,7.3,"77,000 ",Petrol,7,560,2100
Nissan,Qashqai,4,1332,156 HP,195,8.9,"26,000 ",Petrol,5,260,1500
Nissan,Murano,3.5L V6,3498,260 HP,210,7.5,"39,000 ",Petrol,5,325,2000
Nissan,Maxima Platinum,3.5L V6,3498,300 HP,220,6.2,"45,000 ",Petrol,5,353,1650
Nissan,Armada,5.6L V8,5552,400 HP,210,6.5,"51,000 ",Petrol,8,560,2450
Nissan,Kicks,4,1598,122 HP,180,10.7,"20,000 ",Petrol,5,154,1700
Nissan,Trail,3,1498,201 HP,200,8.0,"29,000 ",Hybrid,5,305,1300
Nissan,Z (Fairlady Z),TurboV6,2997,400 HP,250,4.5,"40,000 ",Petrol,2,475,1450
Nissan,Almera,3,999,100 HP,185,10.7,"14,500 ",Petrol,5,160,1050
Nissan,Sylphy,4,1798,137 HP,190,9.6,"18,000 ",Petrol,5,174,1350
Nissan,Note,3Hybrid,1198,109 HP,170,11.5,"16,000 ",Hybrid,5,150,1050
Nissan,Sunny,4,1598,118 HP,180,11.0,"15,000 ",Petrol,5,156,1350
Nissan,Cube,4,1798,122 HP,175,10.6,"14,500 ",Petrol,5,171,1350
Nissan,Juke,3,999,117 HP,180,10.4,"25,000 ",Petrol,5,180,1050
Nissan,Terrano,4Diesel,1461,110 HP,168,13.5,"15,500 ",Diesel,5,248,1200
Nissan,Magnite,3,999,100 HP,160,13.0,"12,000 ",Petrol,5,160,1050
Nissan,Xterra,4.0L V6,3954,261 HP,200,7.8,"35,000 ",Petrol,7,381,1800
Nissan,Patrol,5.6L V8,5552,400 HP,210,7.3,"77,000 ",Petrol,7,560,2100
Nissan,RNISMO,TurboV6,3799,600 HP,330,2.9,"220,000 ",Petrol,2,652,1470
Nissan,370Z Roadster,3.7L V6,3696,332 HP,250,5.5,"41,820 ",Petrol,2,366,1470
Nissan,Ariya,Dual Electric Motors,87 kWh,389 HP,200,5.1,"58,950 ",Electric,5,600,1050
Nissan,Patrol Royale,5.6L V8,5552,400 HP,210,6.6,"85,000 ",Petrol,7,560,2100
Nissan,Infiniti QX80*,5.6L V8,5552,400 HP,210,6.5,"70,600 ",Petrol,7,560,2100
Nissan,Tiida,4,1598,126 HP,190,10.1,"14,500 ",Petrol,5,154,1350
Nissan,Pulsar,4,1197,115 HP,190,10.7,"19,000 ",Petrol,5,190,1050
Nissan,Latio,4,1498,102 HP,175,11.5,"13,000 ",Petrol,5,139,1150
Nissan,Bluebird Sylphy,4,1997,133 HP,185,10.5,"18,500 ",Petrol,5,191,1350
Nissan,March,3,1198,79 HP,170,13.7,"12,000 ",Petrol,5,106,1050
Nissan,Rogue Sport,4,1997,141 HP,190,9.8,"24,960 ",Petrol,5,199,1700
Nissan,TrailHybrid,4Hybrid,1997,179 HP,180,9.4,"28,500 ",Hybrid,5,207,1550
Nissan,Pathfinder Rock Creek,3.5L V6,3498,284 HP,190,7.4,"42,820 ",Petrol,7,351,2150
Nissan,Armada Platinum,5.6L V8,5552,400 HP,210,6.5,"65,300 ",Petrol,8,560,2450
Nissan,Terrano XL,4,1598,104 HP,165,12.5,"14,000 ",Petrol,5,145,1350
Nissan,R50byItaldesign,TurboV6,3799,720 HP,315,2.5,"1,100,000 ",Petrol,2,780,1470
Nissan,370Z NISMO,3.7L V6,3696,350 HP,250,5.2,"45,790 ",Petrol,2,374,1550
Nissan,4ORCE,Dual Electric Motors,87 kWh,389 HP,200,5.1,"60,000 ",Electric,5,600,1050
Nissan,Patrol NISMO,5.6L V8,5552,428 HP,210,6.5,"105,000 ",Petrol,7,560,2100
Nissan,Infiniti Q60*,Turbo,2997,300 HP,250,5.0,"41,750 ",Petrol,4,400,1500
Nissan,Primera,4,1998,140 HP,200,9.6,"20,000 ",Petrol,5,190,1350
Nissan,Skyline,Turbo,2997,400 HP,250,5.0,"50,000 ",Petrol,5,475,1550
Nissan,Cedric,6,1998,150 HP,190,10.5,"22,000 ",Petrol,5,190,1350
Nissan,Gloria,2.5L V6,2498,210 HP,210,8.6,"30,000 ",Petrol,5,250,1500
Nissan,Stanza,4,1796,120 HP,175,11.0,"18,500 ",Petrol,5,170,1350
Nissan,Patrol Super Safari,6,4750,280 HP,190,8.2,"55,000 ",Petrol,7,451,2300
Nissan,Pathfinder Hybrid,4Hybrid,2488,250 HP,190,7.7,"42,500 ",Hybrid,7,329,2150
Nissan,TerraPro,4,2498,190 HP,175,10.8,"40,000 ",Petrol,7,240,1650
Nissan,Rogue Platinum,3,1497,201 HP,180,8.2,"38,000 ",Petrol,5,300,1500
Nissan,Qashqai Tekna,4,1332,158 HP,190,9.2,"36,000 ",Hybrid,5,270,1700
Nissan,RV,TurboV6,3799,600 HP,330,2.8,"175,000 ",Petrol,2,652,1470
Nissan,Skyline NISMO,TurboV6,2997,420 HP,270,4.7,"55,000 ",Petrol,5,475,1550
Nissan,Ariya Lounge Edition,Dual Electric Motors,87 kWh,389 HP,200,5.1,"63,000 ",Electric,5,600,1050
Nissan,Patrol Titanium,5.6L V8,5552,428 HP,210,6.5,"98,000 ",Petrol,7,560,2600
Nissan,Infiniti FX50*,5.0L V8,5026,390 HP,250,5.6,"61,750 ",Petrol,5,500,2200
Nissan,Avenir,4,1998,140 HP,180,9.8,"20,000 ",Petrol,5,186,1350
Nissan,Wingroad,4,1798,125 HP,175,10.8,"18,000 ",Petrol,5,168,1350
Nissan,Presea,4,1838,115 HP,170,11.5,"17,500 ",Petrol,5,161,1350
Nissan,Leopard,3.0L V6,2960,210 HP,200,8.4,"32,000 ",Petrol,5,265,1600
Nissan,Sunny NISMO Edition,4,1598,190 HP,200,7.5,"24,000 ",Petrol,5,240,1300
Nissan,Paladin,4,2438,150 HP,180,10.6,"20,000 ",Petrol,5,217,1500
Nissan,Hardbody SUV,4,2498,158 HP,175,11.0,"18,500 ",Petrol,5,225,1850
Nissan,Patrol Desert Edition,5.6L V8,5552,428 HP,210,6.5,"95,000 ",Petrol,7,560,2100
Nissan,Pathfinder Armada,5.6L V8,5552,400 HP,200,6.5,"60,000 ",Petrol,7,560,2450
Nissan,Rogue Midnight Edition,3,1497,201 HP,180,8.2,"39,000 ",Petrol,5,300,1500
Nissan,RBlackEdition,TurboV6,3799,600 HP,330,2.8,"185,000 ",Petrol,2,652,1470
Nissan,Fairlady Z Heritage,TurboV6,2997,400 HP,250,4.2,"48,000 ",Petrol,2,475,1450
Nissan,RR34,TurboInline,2568,276 HP,250,5.6,"70,000 ",Petrol,4,392,1500
Nissan,Ariya Premiere,Dual Electric Motors,87 kWh,389 HP,200,5.1,"67,000 ",Electric,5,600,1050
Nissan,Infiniti QX55*,TurboInline,1997,268 HP,230,6.5,"50,000 ",Petrol,5,380,1650
Nissan,NV350 Caravan,4Diesel,2488,129 HP,155,12.5,"28,000 ",Diesel,8,356,1700
Nissan,Navara,4Diesel,2298,190 HP,180,10.2,"32,000 ",Diesel,5,450,1550
Nissan,Titan XD,5.6L V8,5552,400 HP,195,6.9,"55,000 ",Petrol,6,560,2450
Nissan,Evalia,4Diesel,1461,85 HP,140,15.0,"25,000 ",Diesel,7,200,1350
Nissan,Cabstar,4Diesel,2488,130 HP,145,14.8,"27,000 ",Diesel,3,350,1500
Nissan,Cherry,4,1397,67 HP,145,14.0,"14,000 ",Petrol,5,110,1150
Nissan,Laurel,6Diesel,2825,94 HP,160,12.5,"22,000 ",Diesel,5,184,1650
Nissan,Silvia,4,1998,247 HP,235,5.9,"45,000 ",Petrol,4,275,1250
Nissan,NX Coupe,4,1998,140 HP,200,9.0,"22,000 ",Petrol,4,180,1300
Nissan,AD Wagon,4,1498,105 HP,165,12.3,"16,000 ",Petrol,5,150,1150
Nissan,Patrol Super Safari Y61,6,4750,280 HP,190,8.2,"58,000 ",Petrol,7,451,2300
Nissan,Pathfinder Rock Creek Edition,3.5L V6,3498,284 HP,195,7.2,"44,000 ",Petrol,7,351,2150
Nissan,Terrano II,4Diesel,2664,125 HP,160,12.9,"28,000 ",Diesel,5,278,1650
Nissan,Murano CrossCabriolet,3.5L V6,3498,260 HP,195,7.6,"47,000 ",Petrol,4,325,1870
Nissan,TrailTekna,1.5L Turbo Hybrid,1497,204 HP,190,8.0,"43,000 ",Hybrid,5,305,1300
Nissan,RLMNISMO,TurboV6Hybrid,3000,500 HP,320,3.0,"600,000 ",Hybrid,2,650,1650
Nissan,Skyline 400R,TurboV6,2997,400 HP,250,4.5,"70,000 ",Petrol,5,475,1550
Nissan,Infiniti G37*,3.7L V6,3696,328 HP,250,5.5,"42,000 ",Petrol,5,365,1650
Nissan,Patrol Black Edition,5.6L V8,5552,400 HP,200,6.5,"85,000 ",Petrol,7,560,2100
Nissan,Ariya Empower+,Dual Electric Motors,87 kWh,389 HP,200,5.1,"68,000 ",Electric,5,600,1050
Nissan,Datsun 510 (Classic),4,1595,96 HP,175,10.2,"25,000 ",Petrol,4,135,1300
Nissan,200SX,4,1998,200 HP,240,7.2,"30,000 ",Petrol,4,265,1250
Nissan,300ZX,TurboV6,2960,300 HP,250,5.9,"50,000 ",Petrol,4,384,1500
Nissan,R390 GT1 Road Car,TurboV8,3495,550 HP,354,3.3,"1,000,000 ",Petrol,2,637,1550
Nissan,Figaro,4,987,76 HP,170,12.8,"20,000 ",Petrol,4,103,1000
Nissan,Hardbody Truck,4,2389,134 HP,160,10.6,"25,000 ",Petrol,5,206,2000
Nissan,Atlas,4Diesel,2999,130 HP,130,18.0,"35,000 ",Diesel,3,300,1950
Nissan,Clipper,3,659,48 HP,110,18.5,"10,000 ",Petrol,4,62,1000
Nissan,NV200,4,1998,131 HP,140,14.0,"28,000 ",Petrol,7,188,1500
Nissan,Violet,4,1770,85 HP,155,13.8,"18,000 ",Petrol,5,130,1350
Nissan,Bluebird Z,4,1998,140 HP,190,11.0,"23,000 ",Petrol,5,180,1350
Nissan,Stanza Wagon,4,2389,138 HP,160,12.0,"22,000 ",Petrol,7,205,1650
Nissan,180SX,4,1998,205 HP,240,6.8,"35,000 ",Petrol,4,275,1250
Nissan,Sunny California,4,1597,110 HP,170,11.0,"18,000 ",Petrol,5,140,1350
Nissan,Patrol Warrior,5.6L V8,5552,428 HP,205,6.3,"95,000 ",Petrol,7,580,2100
Nissan,Pathfinder Armada Platinum,5.6L V8,5552,400 HP,190,6.8,"70,000 ",Petrol,7,560,2450
Nissan,Rogue Sport SL,4,1998,141 HP,190,9.0,"32,000 ",Petrol,5,195,1700
Nissan,TrailPlatinumEdition,1.5L Turbo Hybrid,1497,204 HP,190,8.0,"46,000 ",Hybrid,5,305,1300
Nissan,Power,1.5L Hybrid,1497,187 HP,200,7.5,"40,000 ",Hybrid,5,330,1300
Nissan,REgoist,TurboV6,3799,565 HP,315,2.8,"220,000 ",Petrol,2,637,1470
Nissan,Infiniti M45*,4.5L V8,4494,325 HP,250,5.8,"50,000 ",Petrol,5,451,1750
Nissan,Skyline 50th Anniversary,TurboV6,2997,400 HP,250,4.5,"75,000 ",Petrol,5,475,1550
Nissan,Ariya Dual Motor AWD,Dual Electric Motors,87 kWh,389 HP,200,5.1,"70,000 ",Electric,5,600,1050
Nissan,Patrol Legend Edition,5.6L V8,5552,428 HP,205,6.3,"95,000 ",Petrol,7,580,2100
Nissan,Datsun 240Z (Classic),6,2393,151 HP,210,8.0,"45,000 ",Petrol,2,198,1350
Nissan,100NX,4,1597,110 HP,185,9.6,"18,000 ",Petrol,4,135,1300
Nissan,Cedric Special Edition,3.0L V6,2960,250 HP,225,8.5,"60,000 ",Petrol,5,330,1600
