Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Weight(kg)
LAMBORGHINI,URUS S,V8,"3,996 ",671,305,3.3,"263,000 ",Petrol,5,850,2000
LAMBORGHINI,HURACAN STO,V10,"5,204 ",640,325,3.0,"327,000 ",Petrol,2,565,1620
LAMBORGHINI,4ULTIMATE,V12,"6,498 ",769,355,2.8,"545,000 ",Petrol,2,720,1640
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,"5,204 ",610,325,3.3,"273,000 ",Petrol,2,600,1540
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,"6,498 ",759,350,2.9,"603,000 ",Petrol,2,720,1640
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,"3,998 ",641,305,3.3,"253,000 ",Petrol,5,850,2000
LAMBORGHINI,HURACAN STO EVO,V10,"5,204 ",640,325,3.0,"342,000 ",Petrol,2,565,1620
LAMBORGHINI,4ULTIMATEROADSTER,V12,"6,498 ",769,355,2.8,"573,000 ",Petrol,2,720,1560
ROLLS ROYCE,GHOST,V12,"6,592 ",591,250,4.8,"332,000 ",Petrol,5,850,2500
ROLLS ROYCE,WRAITH,V12,"6,592 ",624,250,4.4,"330,000 ",Petrol,4,870,2450
ROLLS ROYCE,DAWN,V12,"6,592 ",624,250,4.9,"360,000 ",Petrol,4,870,2450
ROLLS ROYCE,CULLINAN,V12,"6,749 ",563,250,5.2,"325,000 ",Petrol,5,850,2850
ROLLS ROYCE,PHANTOM EXTENDED,V12,"6,749 ",563,250,5.3,"500,000 ",Petrol,5,900,2500
ROLLS ROYCE,GHOST EXTENDED,V12,"6,592 ",591,250,4.8,"370,000 ",Petrol,5,850,2500
ROLLS ROYCE,WRAITH BLACK BADGE,V12,"6,592 ",624,250,4.3,"360,000 ",Petrol,4,870,2450
ROLLS ROYCE,DAWN BLACK BADGE,V12,"6,592 ",624,250,4.8,"390,000 ",Petrol,4,870,2450
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,"6,749 ",563,250,5.1,"350,000 ",Petrol,5,850,2850
ROLLS ROYCE,PHANTOM COUPE,V12,"6,749 ",563,250,5.3,"450,000 ",Petrol,4,870,2450
ROLLS ROYCE,GHOST COUPE,V12,"6,592 ",591,250,4.8,"340,000 ",Petrol,4,850,2450
ROLLS ROYCE,WRAITH COUPE,V12,"6,592 ",624,250,4.4,"330,000 ",Petrol,4,870,2450
ROLLS ROYCE,DAWN CONVERTIBLE,V12,"6,592 ",624,250,4.9,"380,000 ",Petrol,4,870,2370
ROLLS ROYCE,CULLINAN SUV,V12,"6,749 ",563,250,5.2,"320,000 ",Petrol,5,850,2850
MERCEDES,CLASSS580,V8,"3,982 ",496,250,4.4,"116,000 ",Petrol,5,700,1650
MERCEDES,CLASSE63S,V8,"3,982 ",603,250,3.4,"104,000 ",Petrol,5,850,1650
MERCEDES,BENZ CLA 45 AMG,I4,1991,382,250,4.1,"53,000 ",Petrol,5,500,1300
MERCEDES,BENZ GLE 63 S,V8,"3,982 ",603,250,4.2,"113,000 ",Petrol,5,850,2000
MERCEDES,CLASSS500,V6,"2,996 ",429,250,4.9,"109,000 ",Petrol,5,700,1550
MERCEDES,CLASSE450,V6,"2,996 ",362,250,5.2,"62,000 ",Petrol,5,500,1550
MERCEDES,BENZ CLS 450,V6,"2,996 ",362,250,5.2,"70,000 ",Petrol,5,500,1550
MERCEDES,BENZ GT 53,V6,"2,996 ",429,250,4.5,"99,000 ",Petrol,5,700,1550
MERCEDES,BENZ GLE 450,V6,"2,996 ",362,250,5.5,"63,000 ",Petrol,5,500,1900
MERCEDES,CLASSA45S,I4,"1,991 ",416,250,3.9,"53,000 ",Petrol,5,500,1300
MERCEDES,CLASSC43,V6,"2,996 ",402,250,4.7,"52,000 ",Petrol,5,520,1550
MERCEDES,CLASSE350,I4,"1,991 ",255,250,5.7,"49,000 ",Petrol,5,500,1300
MERCEDES,BENZ GLE 350,I4,"1,991 ",255,250,6.1,"53,000 ",Petrol,5,500,1650
MERCEDES,BENZ GLC 43,V6,"2,996 ",402,250,4.7,"54,000 ",Petrol,5,520,1900
MERCEDES,BENZ GLA 45,I4,"1,991 ",382,250,4.3,"48,000 ",Petrol,5,500,1650
MERCEDES,BENZ GLC 350,I4,"1,991 ",255,250,6.1,"46,000 ",Petrol,5,500,1650
MERCEDES,BENZ GLE 53,V6,"2,996 ",429,250,5.2,"71,000 ",Petrol,5,620,1900
MERCEDES,CLASSS350,I4,"1,991 ",255,250,6.5,"90,000 ",Petrol,5,500,1300
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,N/A,751,250,3.4,"102,000 ",Electric,5,950,2530
MERCEDES,BENZ MAYBACH S 680,V12,"5,980 ",630,250,4.7,"200,000 ",Petrol,5,1000,2350
