,name,user rating,Price,Sales Package,Series,Color,Type,Suitable For,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Clock Speed,Expandable Memory,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Finger Print Sensor,Keyboard,Backlit Keyboard,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Web Camera,Battery Backup,Chipset,Memory Slots,RAM Frequency,RJ45,Sound Chip,Brightness,Laptop Bag,Other Accessories,Hardware Interface,Face Recognition,System Architecture,Refresh Rate,Antivirus,Multi Card Slot,NFC Support,HDD Capacity,Stylus Included,VGA Port,Security Chip
266,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) 5502 Thin and Light Laptop  (15.6 inch, Silver)",,"?85,990","Laptop, Power Adaptor, User Guide, Warranty Documents",Inspiron,Silver,Thin and Light Laptop,Processing & Multitasking,,,No,GDDR5,2 GB,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,,8 MB,NVIDIA GeForce MX330,4,64 bit,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,,,,,IEEE 802.11ac,v5.0,,,,English International Backlit Keyboard,Yes,,"3 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Onsite,Manufacturing Defects,Physical Damage,3 Year,HD Webcam,Upto 6 hours,,,,,,,,,,,64 BIT,60 Hz,,,,,,,
267,"acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX RTX 3060/300 Hz) PH315-54 Gaming Laptop  (15.6 inch, Abyssal Black, 2.3 Kg)",3,"?1,39,990","Laptop, Power Adaptor, User Guide, Warranty Documents",Predator Helios 300,Abyssal Black,Gaming Laptop,Gaming,230W,4,No,GDDR6,6 GB,Intel,Core i9,11th Gen,Yes,1 TB,16 GB,DDR4,2.50 GHz with Max Turbo Boost Frequency Up to 5.20 GHz,32,16,NVIDIA GeForce RTX RTX 3060,8,64 bit,Windows 11 Home,"2 x USB 3.2, 1x USB Type-C",1 x HDMI Port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, IPS (In-Plane Switching) technology (300 nits Brightness, Acer ComfyView LED-backlit TFT LCD, supporting 300 Hz, 2 ms Overdrive,100% sRGB)",Built-in Dual Speakers,Built-in Dual Microphone,"DTS X:Ultra Audio, featuring optimized Bass, Loudness, Speaker Protection with up to 6 custom content modes by smart amplifier | Supported in Windows Spatial Sound for PC Gaming with DTS license integrated | Immersive audio rendering over headphones and internal speakers | Acer Purified.Voice technology with dual built-in microphones. Features include far-field pickup, keystroke suppression, adaptive beam forming, and pre-defined personal and conference call modes. | Compatible with Cortana with Voice | Acer TrueHarmony technology for lower distortion, wider frequency range, headphone-like audio and powerful sound","Killer Wi-Fi 6 AX 1650i, 802.11 a/b/g/n+acR2",v5.1,363x255 x 22.9mm,2.3 Kg,No,103-/104-/107-key FineTip RGB-backlit keyboard with independent standard numeric keypad,Yes,59 Wh 4-cell Li-ion?battery,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,720p HD Webcam,,,2,3200 MHz,Yes,,,,,NVMe PCIe,,64,300 Hz,,,,,,,
268,"acer Predator Helios 300 Core i9 11th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/300 Hz) PH315-54 Gaming Laptop  (15.6 inch, Abyssal Black, 2.3 Kg)",,"?1,69,990","Laptop, Power Adaptor, User Guide, Warranty Documents",Predator Helios 300,Abyssal Black,Gaming Laptop,Gaming,230W,4,No,GDDR6,8 GB,Intel,Core i9,11th Gen,Yes,1 TB,32 GB,DDR4,2.50 GHz with Max Turbo Boost Frequency Up to 5.20 GHz,32,16,NVIDIA GeForce RTX 3070,8,64 bit,Windows 11 Home,"2 x USB 3.2, 1x USB Type-C",1 x HDMI Port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, IPS (In-Plane Switching) technology (300 nits Brightness, Acer ComfyView LED-backlit TFT LCD, supporting 300 Hz, 2 ms Overdrive,100% sRGB)",Built-in Dual Speakers,Built-in Dual Microphone,"DTS X:Ultra Audio, featuring optimized Bass, Loudness, Speaker Protection with up to 6 custom content modes by smart amplifier | Supported in Windows Spatial Sound for PC Gaming with DTS license integrated | Immersive audio rendering over headphones and internal speakers | Acer Purified.Voice technology with dual built-in microphones. Features include far-field pickup, keystroke suppression, adaptive beam forming, and pre-defined personal and conference call modes. | Compatible with Cortana with Voice | Acer TrueHarmony technology for lower distortion, wider frequency range, headphone-like audio and powerful sound","Killer Wi-Fi 6 AX 1650i, 802.11 a/b/g/n+acR2",v5.1,363 x 255 x 22.9 mm,2.3 Kg,No,103-/104-/107-key FineTip RGB-backlit keyboard with independent standard numeric keypad,Yes,59 Wh 4-cell Li-ion?battery,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,720p HD Webcam,,,2,,Yes,,,,,NVMe PCIe,,64,300 Hz,,,,,,,
269,"DELL Inspiron 3510 Pentium Quad Core 11th Gen - (4 GB/256 GB SSD/Windows 11 Home) 3510 Laptop  (15.6 inch, Black, 1.83 kg, With MS Office)",,"?35,990","LAPTOP, ADAPTER AND MANUAL",Inspiron 3510,Black,Laptop,Everyday Use,65W,3,Yes,,,Intel,Pentium Quad Core,11th Gen,Yes,256 GB,4 GB,DDR4,1.10GHz,UP TO 16GB,2,Intel Integrated INTEL,,64 bit,Windows 11 Home,2,1,No,39.62 cm (15.6 inch),1920 x 1080 pixel,HD,INBUILT,YES,,YES,YES,32.2 x 22 x 2 cm,1.83 kg,No,YES,No,,1 YEAR MANUFACTURER WARRANTY,ON SIDE,complete Laptop AND ADAPTER,PHYSICAL DAMAGED,12 Months,YES,3-5 hours,INTEL,2,2400 MHz,No,,,No,NA,,No,64 Bit,,,1,No,,,No,
270,"Lenovo IdeaPad Core i3 10th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IIL05 Laptop  (14 inch, Abyss Blue, With MS Office)",4.8,"?34,490","Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad,Abyss Blue,Laptop,Processing & Multitasking,,,Yes,,,Intel,Core i3,10th Gen,Yes,256 GB,4 GB,DDR4,,,,Intel Integrated,,,Windows 11 Home,,,No,35.56 cm (14 inch),1920x1080$$Pixels pixel,,,,,,YES,,,,,,,2 YEAR,ONSITE,MANUFACTURING DEFECT,PHYSICAL DEFECT,,,UPTO 6 HRS,,,,,,,,,,,,,,,,,,,
271,"DELL Inspiron 3511 Core i3 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) 3511 Laptop  (15.6 inch, Black, 1.83 kg, With MS Office)",3.8,"?50,999","LAPTOP, ADAPTER AND MANUAL",Inspiron 3511,Black,Laptop,Everyday Use,,,Yes,,,Intel,Core i3,11th Gen,Yes,256 GB,16 GB,DDR4,,,,Intel Integrated INTEL,,,Windows 11 Home,2,1,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,FULL HD,,,,YES,YES,,1.83 kg,,YES,,,1 YEAR MANUFACTURER WARRANTY,ON SIDE,complete Laptop AND ADAPTER,PHYSICAL DAMAGED,12 Months,YES,3-5 hours,,,,No,,,No,,"USB, HDMI, SDXC, SDHC, USB 2.0, Secure Digital Card, Media Card",,64 Bit,,,1,,1 TB,,No,
272,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-BQ312WS Laptop  (15.6 inch, Silver, With MS Office)",,"?37,899","laptop, manual, adaptor",,Silver,Laptop,Entertainment,,,Yes,DDR4,,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,,,,NA intel hd,,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920 pixel,,,,,,yes,,,,,,,1 year,on site,manufacturing defect,"damage, burn",,,3 hours,,,,,,,,,,,,,,,,,,,
273,"ASUS ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA706IC-HX003T Gaming Laptop  (17.3 inch, Graphite Black, 2.60 kg)",4.5,"?79,990","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",ASUS TUF Gaming A17,Graphite Black,Gaming Laptop,Gaming,180 W AC Adapter,4 cell,No,GDDR6,4 GB,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR4,Max Boost Frequency Upto 4.2 GHz,Upto 32 GB,12,NVIDIA GeForce RTX 3050,8,,Windows 10 Home,"1 x USB 3.2 Gen 2 Type-C, 3 x USB 3.2 Gen 1 Type-A",1x HDMI 2.0b,No,43.94 cm (17.3 inch),1920 x 1080 Pixels,"FHD, Brightness: 250nits, Contrast: 1:800, 45% NTSC, 62.5% SRGB, Anti-glare Display, Refresh Rate: 144 Hz, Adobe: 47.34%",Built-in Dual Speakers,Built-in array microphone,2-speaker system,Wi-Fi 6(802.11ax),v5.1,399 x 268 x 23.3,2.60 kg,No,Backlit Chiclet Keyboard RGB,Yes,"90WHrs, Li-ion",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,720P HD camera,,,,3200 MHz,,,,,,,,,,,,,,,,BIOS Administrator Password and User Password Protection
274,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",4.2,"?56,900","Laptop, Power Adaptor, User Guide, Warranty Documents",,Natural Silver,Thin and Light Laptop,Processing & Multitasking,65 W Smart AC power adapter,3,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,4.5,16,8,Intel Integrated Iris Xe Graphics,4,64 bit,Windows 11 Home,"1 x Super Speed USB Type-C, 2 x Super Speed USB Type-A",1x HDMI 1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD, micro-edge, anti-glare (Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC)",Inbuilt dual Speakers,Integrated dual array digital microphones,,MediaTek Wi-Fi CERTIFIED 6 MT7921 (2x2),v5.2,358 x 242 x 17.9 mm,1.69 Kg,No,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,41 Wh Li-ion,1 Year onsite warranty,Onsite,Manufacturing defects,Physical damage,1 Year,HP True Vision 720p HD camera,Up to 7 hours and 15 minutes,Intel Integrated SoC,,3200 MHz,,,,,,PCIe NVMe,,64,,,1 x multi-format SD media card reader,,,,,
275,"HP Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 14s- dq3032tu Thin and Light Laptop  (14 Inch, Jet Black, 1.46 kg, With MS Office)",3.9,"?31,390","Laptop, Power Adaptor, User Guide, Warranty Documents",,Jet Black,Thin and Light Laptop,Processing & Multitasking,,3,Yes,,,Intel,Celeron Dual Core,,Yes,256 GB,8 GB,DDR4,2.8,,4,Intel Integrated UHD Graphics,2,64 bit,Windows 11 Home,"1x SuperSpeed USB Type-C, 2x SuperSpeed USB Type-A",1x HDMI 1.4b,No,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, micro-edge, BrightView (Brightness: 250 nits, 112 ppi, Color Gamut: 45%NTSC)",Inbuilt dual Speakers,Integrated dual array digital microphone,,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi,v4.2,324 x 225 x 17.9 mm,1.46 kg,,"Full-size, jet black keyboard",No,"41 Wh Li-ion, Support battery fast charge",1 Year onsite warranty,Onsite,Manufacturing defects,Physical damage,1 Year,HP TrueVision 720p HD Camera,,,,2933 MHz,,,,,,PCIe NVMe,,64,,,1x multi-format SD media card reader,,,,,
